Jp,attractor_robustness,collapse_time,competitor_suppression,cue_gain,cue_rate,cue_response,decay_index,delay_gain,delay_minus_competitor,delay_minus_ns,distractor_drop,distractor_recovery,frac_above_thr,gaba_scale,inhibitory_balance,lambda_delay,lambda_valid,linear_delay_slope,nmda_scale,peak_diff,peak_diff_time,persistent,r1_base,r1_cue,r1_cue_peak,r1_delay,r1_delay_early,r1_delay_late,r1_delay_mean,r1_delay_min,r1_delay_std,r1_during_distr,r1_post_distr,r1_pre_distr,r2_delay,r2_delay_late,r2_delay_mean,r2_delay_min,r2_delay_std,r3_delay,regime,ri_delay,selective_frac,snr_delay,survives_distractor
1.75,-1.6660002665600429,0.15112000000000003,6.488537918166068,73.9681757820736,200,True,0.3311098582464158,25.86478276326217,7.4760040428273165,10.107908820598746,24.779417953059657,-8.640647354150802,0.4830285714285714,1.1,0.3852365023281429,23.10157035580953,True,-48.3375431394779,1.1,21.324803411968553,2.0000000000020002e-05,False,0.4262628282020524,31.529883879781433,61.89190990270561,11.025195477364612,15.732842369284379,5.2092992070380655,9.890943622550981,2.082500333200053,5.054198246928821,11.024727055603554,2.384079701452752,35.80414500866321,3.549191434537296,4.696472741836919,3.511462081833933,0.9996001599360256,1.5944833409402257,0.9172866567658651,persistent,4.247307743569239,0.5550857142857143,3.1063963941115387,1.0
1.78,10.995601759296282,,7.490651358504217,70.85238007263372,200,True,0.7754183943193798,54.27343440608485,18.889199875605318,20.479291616686663,20.030882707986823,-9.093545298588344,1.0,1.1,0.22008294021453315,1.8191661285564846,True,-28.162190949725932,1.1,28.738504598160745,0.0,True,0.3961582033853125,28.068751666000274,68.30601092896178,21.500866320138616,23.19847905668767,17.98852738156393,20.562008529921368,12.161801945888312,3.6201669670747307,21.50064912372496,12.407103825136614,41.53153183171178,2.6116664445332978,3.016635411337842,2.5093486414957824,0.8330001332800213,0.9479066607095507,1.0215747034519524,persistent,4.731973877115819,1.0,8.232623410585717,1.0
1.8,19.992003198720518,,8.065807010529122,88.18899963677575,200,True,0.891352954392457,65.39112520160623,25.826702652272434,26.82981172610322,19.0830591005752,-6.207230339204454,1.0,1.1,0.17673735657701806,0.7783368018162872,True,-17.635201748336417,1.1,34.6528055444489,2.0000000000020002e-05,True,0.4262628282020525,37.59169248967081,72.30441156870589,27.87380603314231,29.379070207549862,26.18712102769434,27.37157041945127,21.074903371984544,2.9665145600541494,27.873713745841805,21.66648340663735,46.956772846417,2.047103380869874,2.358886245972659,1.9341929894708783,0.4998000799680128,0.7543581394539254,1.0439943070390891,persistent,4.926342796214847,1.0,13.616218057185609,1.0
1.82,25.156604025056648,,8.269068563050972,85.81672112242147,200,True,1.0806953093402043,86.41588841841087,32.36495401839266,33.16501851640298,15.091407658432978,-7.479880492973141,1.0,1.1,0.14921795193931237,1.6298167273440687,True,2.308642255595507,1.1,38.734506197521,0.21516000000000002,True,0.3961415433826469,33.995568439290956,74.30361188857793,34.23292349726778,32.12335674941515,34.71556096043564,33.71838883494222,25.57310409169666,3.429882748772047,34.23296259346628,26.753082100493142,49.32437025189926,1.8679694788751162,1.9230631526441104,1.7309314369490298,0.3332000533120085,0.6431698271892271,1.067904980864797,persistent,5.108166733306677,1.0,18.326275598226815,1.0
1.84,32.65360522457684,,8.38008606081377,101.92593980151653,200,True,1.0703816101032055,94.88645224767579,38.67628504153897,39.29630052740811,12.154280040755737,-6.232515241131516,1.0,1.1,0.1310506987393319,0.9449928141124403,True,6.764716293014797,1.1,45.56510729041718,0.20884000000000014,True,0.42622950819672123,43.44384329601495,78.55191256830605,40.44340597094498,38.86557754422727,41.600999470451356,40.14446126311382,33.40330534452886,3.302898951143613,40.4434475348807,34.21093229374918,52.59772757563643,1.7671209294060153,1.8708243494585457,1.61991393918623,0.08330001332800213,0.673123417850909,1.1471054435368708,persistent,5.300136612021857,1.0,22.886609102441373,1.0
1.85,34.652805544448896,,8.561656289865006,102.74958969772729,200,True,1.0646745439558705,107.99479884141033,41.196077124705695,41.60169701960488,13.119144453855462,-6.7543894659099735,1.0,1.1,0.1254445103694199,1.039141204380329,True,6.5621244987501175,1.1,48.31400773024126,0.19486000000000003,True,0.3961415433826469,40.703381147540995,81.55071304811412,42.78122639832958,41.10033651006706,43.75848203135313,42.432993469278976,34.8194055711049,3.2597953583204213,42.78122873020427,36.026839264294296,55.90037318405973,1.5851492736238837,1.4369779795498592,1.4383437101349936,0.08330001332800213,0.516324625760423,1.1795293787247003,persistent,5.366669998667199,1.0,26.98876823981167,1.0
1.86,36.65200586432095,,8.475271796043486,110.10649208063512,200,True,1.0776742207838474,106.41112910202132,43.695516237949285,44.19781571498387,12.348674336752282,-7.011725947578448,1.0,1.1,0.11940755701735936,1.1175367827435136,True,6.501107291439502,1.1,52.06250833000135,0.20614,True,0.42622950819672123,46.930636078901784,82.55031320805014,45.35556333022349,42.89719158660606,46.22919751798878,44.931251309000224,36.735305877648955,3.8377052880297184,45.35562172260178,38.343895775023334,57.704296059354064,1.6600470922742014,1.7935433478921454,1.5247282039565127,0.08330001332800213,0.6558406100744579,1.1577476152396184,persistent,5.415797014527522,1.0,27.321853406439352,1.0
1.88,41.98320671731309,,8.875069020011043,112.76626543429865,200,True,1.0797455509454517,124.70977523858163,48.136062241769984,48.25915070479747,11.662418612168345,-6.798391508227958,1.0,1.1,0.11081933879314627,1.2293769313943899,True,9.147882731017521,1.1,56.31080900972946,0.20604,True,0.3961248833799813,44.669523857123835,86.46541383446626,49.400645297436604,46.83414576580888,50.56896052404264,49.023319243731095,42.649606823937106,3.510588878026691,49.40060062458142,42.602209116353464,61.06301923674977,1.2645830556666222,1.136682597547125,1.1249309799889566,0.0,0.467374536798723,1.1414945926391347,persistent,5.474546847927495,1.0,39.06476924311657,1.0
1.9,45.481807277089175,,8.784490965518556,124.46439012348633,200,True,1.0620450456933506,128.30594505329964,53.35796237060733,53.49216384874624,11.558862512961326,-7.550865817928546,1.0,1.1,0.10259997788050497,-0.11684927318830375,True,7.232589497448274,1.1,61.0589097694256,0.28056000000000014,True,0.42621284819405575,53.048322337731605,90.54711448753835,54.68564240970281,52.33164682537305,55.57856624492364,54.23268311722933,45.64840730374518,3.607516124336743,54.68566189949594,47.134796081567394,66.24452441245727,1.3276800390954728,1.4412534768343919,1.2155090344814454,0.08330001332800213,0.564632277873769,1.1934785609565697,persistent,5.6107457017193125,1.0,41.188871383326955,1.0
1.75,-1.8326002932160481,0.23394000000000004,5.141310142609623,66.81858415773334,200,True,0.4637670481110716,29.88994069067182,10.272590963614554,13.857721197235392,23.557263735396454,-10.947001225285947,0.6934857142857143,1.0,0.34390019986529163,19.81758624478687,True,-49.302323178135566,1.1,24.490203918432634,0.0,False,0.5033153405304545,33.63081850593097,65.5571104891377,15.044065707050514,19.27921426243873,8.941064288855848,13.624364539898327,3.7485005997600958,5.278943759589947,15.043595920741097,4.096594695455151,38.60085965613755,4.771474743435959,6.722836350950443,4.858689857390377,1.416100226576036,2.27713697882001,1.1863445098151215,persistent,5.173657203785152,0.6684,3.152917391964293,1.0
